Date,MMWR_week,Location,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average
08/04/2021,31,NJ,0,10443839,11616,0,5726878,7482,Admin,0,11617,0,5079450,4595
08/04/2021,31,TN,12960,5805067,13415,8901,3159076,9221,Report,12960,13415,3658,2684149,3814
08/04/2021,31,US,0,348102478,355890,0,192614017,247858,Admin,0,355891,0,165334987,121455
08/04/2021,31,AL,0,3646234,8987,0,2104017,7352,Admin,0,8987,0,1651691,1873
08/04/2021,31,LA,21870,3698745,15231,17756,2058619,12520,Report,21870,15231,4588,1727145,3098
08/04/2021,31,KY,0,4234268,4981,0,2337312,3718,Admin,0,4982,0,2044345,1499
08/04/2021,31,SD,0,855676,708,0,468315,518,Admin,0,708,0,414730,234
08/04/2021,31,AR,0,2497552,5135,0,1447390,3876,Admin,0,5135,0,1115038,1373
08/04/2021,31,KS,0,2724194,3084,0,1519794,2236,Admin,0,3084,0,1275858,980
08/04/2021,31,IN,9532,6108426,9930,6278,3224073,6317,Report,9532,9930,3309,2990310,3672
08/04/2021,31,OR,0,4762995,3005,0,2561764,1955,Admin,0,3006,0,2359828,1269
08/04/2021,31,FL,57904,22806443,66133,42454,12762530,48082,Report,57904,66133,16064,10567995,18885
08/04/2021,31,FM,235,56435,138,177,33771,102,Report,235,138,105,29544,66
08/04/2021,31,FM,0,56435,97,0,33771,79,Admin,0,97,0,29408,39
08/04/2021,31,MO,0,5518017,7577,0,3068756,4931,Admin,0,7577,0,2599406,2840
08/04/2021,31,WI,0,6189517,4123,0,3281012,2807,Admin,0,4123,0,3046947,1520
08/04/2021,31,DC,0,907346,537,0,501576,334,Admin,0,538,0,424622,206
08/04/2021,31,TX,0,27701046,47591,0,15560873,34158,Admin,0,47592,0,13157678,14889
